connected to PostgreSQL database: csportal_live
WARNING: Process Failed for account: 709100573967
"SubnetId","State","AwsAccountId","VpcId","CidrBlock","AvailableIpAddressCount","AvailabilityZone","DefaultForAz"
"subnet-fcbd2099","available","094121296353","vpc-1bbd1c7e","172.31.16.0/20","4091","eu-west-1c","True"
"subnet-0e239979","available","094121296353","vpc-1bbd1c7e","172.31.32.0/20","4091","eu-west-1a","True"
"subnet-8b2af5d2","available","094121296353","vpc-1bbd1c7e","172.31.0.0/20","4091","eu-west-1b","True"
"subnet-f48f7783","available","094121296353","vpc-4e3afc2b","172.31.16.0/20","4091","ap-southeast-1a","True"
"subnet-235df846","available","094121296353","vpc-4e3afc2b","172.31.0.0/20","4091","ap-southeast-1b","True"
"subnet-d1461697","available","094121296353","vpc-1219d477","172.31.32.0/20","4091","ap-southeast-2c","True"
"subnet-6704c510","available","094121296353","vpc-1219d477","172.31.16.0/20","4091","ap-southeast-2a","True"
"subnet-65984300","available","094121296353","vpc-1219d477","172.31.0.0/20","4091","ap-southeast-2b","True"
"subnet-13b15968","available","094121296353","vpc-a769adce","172.31.0.0/20","4091","eu-central-1b","True"
"subnet-f60fc69f","available","094121296353","vpc-a769adce","172.31.16.0/20","4091","eu-central-1a","True"
"subnet-8ca849e5","available","094121296353","vpc-c710f1ae","172.31.0.0/20","4091","ap-northeast-2a","True"
"subnet-d5cdee9f","available","094121296353","vpc-c710f1ae","172.31.16.0/20","4091","ap-northeast-2c","True"
"subnet-73ca1304","available","094121296353","vpc-8111c4e4","172.31.0.0/20","4091","ap-northeast-1a","True"
"subnet-8b4ebdd2","available","094121296353","vpc-8111c4e4","172.31.16.0/20","4091","ap-northeast-1c","True"
"subnet-3d20a764","available","094121296353","vpc-05d78260","172.31.16.0/20","4081","us-east-1d","True"
"subnet-b59f309e","available","094121296353","vpc-05d78260","172.31.48.0/20","4081","us-east-1b","True"
"subnet-861b7af1","available","094121296353","vpc-05d78260","172.31.32.0/20","4091","us-east-1c","True"
"subnet-b3136cea","available","094121296353","vpc-05d78260","172.31.0.0/20","4090","us-east-1d","False"
"subnet-78eab13e","available","094121296353","vpc-5a089e3f","172.31.16.0/20","4091","sa-east-1c","True"
"subnet-d6c56fb3","available","094121296353","vpc-5a089e3f","172.31.32.0/20","4091","sa-east-1a","True"
"subnet-30824c47","available","094121296353","vpc-5a089e3f","172.31.0.0/20","4091","sa-east-1b","True"
"subnet-c6f91d9f","available","094121296353","vpc-03519d66","172.31.0.0/20","4091","us-west-1b","True"
"subnet-9c57f3f9","available","094121296353","vpc-03519d66","172.31.16.0/20","4091","us-west-1c","True"
"subnet-4827af2d","available","094121296353","vpc-9e66d5fb","172.31.32.0/20","4091","us-west-2b","True"
"subnet-9517b9e2","available","094121296353","vpc-9e66d5fb","172.31.16.0/20","4091","us-west-2a","True"
"subnet-545e920d","available","094121296353","vpc-9e66d5fb","172.31.0.0/20","4091","us-west-2c","True"
